wl,n
1.2653,0.212
1.2917,0.220
1.3191,0.229
1.3478,0.239
1.4419,0.272
1.4762,0.285
1.5122,0.298
1.5398,0.309
1.5500,0.313
1.5773,0.324
1.5897,0.329
1.6166,0.340
1.6316,0.346
1.6580,0.357
1.6757,0.365
1.7015,0.376
1.7222,0.385
1.7474,0.396
1.7714,0.406
1.7958,0.417
1.8235,0.430
1.8469,0.441
1.8788,0.456
1.9011,0.467
1.9375,0.485
1.9585,0.495
2.0000,0.516
2.0195,0.526
2.0845,0.560
2.1537,0.597
2.2277,0.638
2.3070,0.684
2.3921,0.734
2.4838,0.791
2.5827,0.854
2.6899,0.926
2.8064,1.007
2.9333,1.099
3.0724,1.204
3.2252,1.325
3.3941,1.465
3.5816,1.629
3.7911,1.823
4.0265,2.052
4.2932,2.328
4.5977,2.663
4.9486,3.076
5.3576,3.592
5.8403,4.249
6.4185,5.102
7.1239,6.236
8.0033,7.787
9.1305,9.984
10.627,13.228
12.711,18.272
15.811,26.644
20.912,41.734

wl,k
0.19077,1.100
0.19136,1.104
0.19195,1.108
0.19255,1.111
0.19315,1.115
0.19375,1.118
0.19436,1.122
0.19497,1.125
0.19558,1.129
0.19620,1.132
0.19683,1.136
0.19745,1.139
0.19808,1.142
0.19872,1.146
0.19936,1.149
0.20000,1.152
0.20065,1.156
0.20130,1.159
0.20195,1.162
0.20261,1.166
0.20328,1.169
0.20395,1.172
0.20462,1.175
0.20530,1.178
0.20598,1.181
0.20667,1.184
0.20736,1.187
0.20805,1.190
0.20875,1.193
0.20946,1.196
0.21017,1.199
0.21088,1.202
0.21160,1.205
0.21233,1.208
0.21306,1.211
0.21379,1.213
0.21453,1.216
0.21528,1.219
0.21603,1.221
0.21678,1.224
0.21754,1.226
0.21831,1.229
0.21908,1.231
0.21986,1.234
0.22064,1.236
0.22143,1.238
0.22222,1.241
0.22302,1.243
0.22383,1.245
0.22464,1.247
0.22545,1.249
0.22628,1.251
0.22711,1.253
0.22794,1.255
0.22878,1.257
0.22963,1.259
0.23048,1.261
0.23134,1.262
0.23221,1.264
0.23308,1.265
0.23396,1.267
0.23485,1.268
0.23574,1.270
0.23664,1.271
0.23755,1.272
0.23846,1.273
0.23938,1.274
0.24031,1.275
0.24125,1.276
0.24219,1.276
0.24314,1.277
0.24409,1.278
0.24506,1.278
0.24603,1.278
0.24701,1.278
0.24800,1.279
0.24900,1.279
0.25000,1.278
0.25101,1.278
0.25203,1.278
0.25306,1.277
0.25410,1.276
0.25514,1.275
0.25620,1.274
0.25726,1.273
0.25833,1.271
0.25941,1.269
0.26050,1.268
0.26160,1.265
0.26271,1.263
0.26383,1.260
0.26496,1.257
0.26609,1.254
0.26724,1.250
0.26840,1.246
0.26957,1.242
0.27074,1.237
0.27193,1.232
0.27313,1.226
0.27434,1.220
0.27556,1.213
0.27679,1.206
0.27803,1.198
0.27928,1.189
0.28054,1.179
0.28182,1.168
0.28311,1.157
0.28440,1.144
0.28571,1.130
0.28704,1.114
0.28837,1.097
0.28972,1.078
0.29108,1.057
0.29245,1.034
0.29384,1.008
0.29524,0.980
0.29665,0.948
0.29808,0.912
0.29952,0.873
0.30097,0.829
0.30244,0.781
0.30392,0.728
0.30542,0.671
0.30693,0.612
0.30846,0.554
0.31000,0.506
0.31156,0.477
0.31313,0.455
0.31472,0.417
0.31633,0.379
0.31795,0.361
0.31959,0.368
0.32124,0.393
0.32292,0.434
0.32461,0.488
0.32632,0.552
0.32804,0.621
0.32979,0.690
0.33155,0.757
0.33333,0.819
0.33514,0.878
0.33696,0.932
0.33880,0.983
0.34066,1.031
0.34254,1.076
0.34444,1.118
0.34637,1.158
0.34831,1.196
0.35028,1.232
0.35227,1.267
0.35429,1.301
0.35632,1.333
0.35838,1.364
0.36047,1.394
0.36257,1.423
0.36471,1.451
0.36686,1.479
0.36905,1.506
0.37126,1.533
0.37349,1.560
0.37576,1.586
0.37805,1.612
0.38037,1.637
0.38272,1.663
0.38509,1.689
0.38750,1.715
0.38994,1.740
0.39241,1.766
0.39490,1.792
0.39744,1.819
0.40000,1.845
0.40260,1.872
0.40523,1.899
0.40789,1.927
0.41060,1.954
0.41333,1.983
0.41611,2.011
0.41892,2.039
0.42177,2.068
0.42466,2.098
0.42759,2.127
0.43056,2.157
0.43357,2.187
0.43662,2.218
0.43972,2.249
0.44286,2.280
0.44604,2.311
0.44928,2.343
0.45255,2.375
0.45588,2.407
0.45926,2.440
0.46269,2.473
0.46617,2.506
0.46970,2.539
0.47328,2.573
0.47692,2.607
0.48062,2.641
0.48438,2.676
0.48819,2.711
0.49206,2.747
0.49600,2.782
0.50000,2.818
0.50407,2.855
0.50820,2.892
0.51240,2.929
0.51667,2.967
0.52101,3.005
0.52542,3.043
0.52991,3.082
0.53448,3.121
0.53913,3.161
0.54386,3.202
0.54867,3.243
0.55357,3.284
0.55856,3.326
0.56364,3.368
0.56881,3.411
0.57407,3.455
0.57944,3.499
0.58491,3.544
0.59048,3.590
0.59615,3.636
0.60194,3.683
0.60784,3.730
0.61386,3.779
0.62000,3.828
0.62626,3.878
0.63265,3.929
0.63918,3.980
0.64583,4.033
0.65263,4.086
0.65957,4.141
0.66667,4.196
0.67391,4.253
0.68132,4.310
0.68889,4.369
0.69663,4.428
0.70455,4.489
0.71264,4.551
0.72093,4.615
0.72941,4.680
0.73810,4.746
0.74699,4.813
0.75610,4.882
0.76543,4.952
0.77500,5.024
0.78481,5.098
0.79487,5.174
0.80519,5.251
0.81579,5.330
0.82667,5.411
0.83784,5.494
0.84932,5.579
0.86111,5.666
0.87324,5.756
0.88571,5.847
0.89855,5.942
0.91176,6.039
0.92537,6.138
0.93939,6.241
0.95385,6.346
0.96875,6.455
0.98413,6.567
1.0000,6.682
1.0164,6.801
1.0333,6.924
1.0508,7.050
1.0690,7.181
1.0877,7.316
1.1071,7.456
1.1273,7.601
1.1481,7.750
1.1698,7.906
1.1923,8.067
1.2157,8.234
1.2400,8.407
1.2653,8.588
1.2917,8.776
1.3191,8.971
1.3478,9.175
1.4419,9.841
1.4762,10.084
1.5122,10.338
1.5398,10.533
1.5500,10.605
1.5773,10.798
1.5897,10.885
1.6166,11.075
1.6316,11.180
1.6580,11.366
1.6757,11.490
1.7015,11.672
1.7222,11.817
1.7474,11.994
1.7714,12.163
1.7958,12.334
1.8235,12.528
1.8469,12.692
1.8788,12.915
1.9011,13.072
1.9375,13.326
1.9585,13.473
2.0000,13.763
2.0195,13.900
2.0845,14.353
2.1537,14.836
2.2277,15.352
2.3070,15.904
2.3921,16.496
2.4838,17.133
2.5827,17.819
2.6899,18.562
2.8064,19.367
2.9333,20.245
3.0724,21.204
3.2252,22.256
3.3941,23.417
3.5816,24.703
3.7911,26.136
4.0265,27.742
4.2932,29.555
4.5977,31.618
4.9486,33.984
5.3576,36.725
5.8403,39.937
6.4185,43.751
7.1239,48.347
8.0033,53.987
9.1305,61.058
10.627,70.151
12.711,82.212
15.811,98.816
20.912,122.727
